song_title,artist,chart_name,
Let Alone The One You Love,Olivia Dean,Spotify Weekly Top USA,
undressed,sombr,Spotify Weekly Top USA,
Soda Pop,Saja Boys,Spotify Weekly Top USA,
Feel Good Inc.,Gorillaz,Spotify Weekly Top USA,
That's So True,Gracie Abrams,Spotify Weekly Top USA,
Die On This Hill,Sienna Spiro,Spotify Weekly Top USA,
You Should Probably Leave,Chris Stapleton,Spotify Weekly Top USA,
Nevada,YoungBoy Never Broke Again,Spotify Weekly Top USA,
Fame is a Gun,Addison Rae,Spotify Weekly Top USA,
What It Sounds Like,HUNTR/X,Spotify Weekly Top USA,
Flashing Lights,Kanye West,Spotify Weekly Top USA,
Passionfruit,Drake,Spotify Weekly Top USA,
Espresso,Sabrina Carpenter,Spotify Weekly Top USA,
Missed Call,Treaty Oak Revival,Spotify Weekly Top USA,
20 Min,Lil Uzi Vert,Spotify Weekly Top USA,
How It's Done,HUNTR/X,Spotify Weekly Top USA,
Mystical Magical,Benson Boone,Spotify Weekly Top USA,
Promiscuous,Nelly Furtado,Spotify Weekly Top USA,
Scar Tissue,Red Hot Chili Peppers,Spotify Weekly Top USA,
White Iverson,Post Malone,Spotify Weekly Top USA,
From The Start,Laufey,Spotify Weekly Top USA,
Let Down,Radiohead,Spotify Weekly Top USA,
Riptide,Vance Joy,Spotify Weekly Top USA,
Stick Season,Noah Kahan,Spotify Weekly Top USA,
Took Her To The O,King Von,Spotify Weekly Top USA,
Yellow,Coldplay,Spotify Weekly Top USA,
Wildflower,Billie Eilish,Spotify Weekly Top USA,
Wondering Why,The Red Clay Strays,Spotify Weekly Top USA,
The Color Violet,Tory Lanez,Spotify Weekly Top USA,
The Spins,Mac Miller,Spotify Weekly Top USA,
Baby Steps,Olivia Dean,Spotify Weekly Top USA,
Everlong,Foo Fighters,Spotify Weekly Top USA,
Heartless,Kanye West,Spotify Weekly Top USA,
I've Seen It,Olivia Dean,Spotify Weekly Top USA,
Just In Case,Morgan Wallen,Spotify Weekly Top USA,
Not Like Us,Kendrick Lamar,Spotify Weekly Top USA,
That's What I Like,Bruno Mars,Spotify Weekly Top USA,
Breakin' Dishes,Rihanna,Spotify Weekly Top USA,
Lovers Rock,TV Girl,Spotify Weekly Top USA,
When Did You Get Hot?,Sabrina Carpenter,Spotify Weekly Top USA,
Bring Me To Life,Evanescence,Spotify Weekly Top USA,
Love Me,Lil Wayne,Spotify Weekly Top USA,
Take Me To Church,Hozier,Spotify Weekly Top USA,
Dive,Olivia Dean,Spotify Weekly Top USA,
Don't Stop The Music,Rihanna,Spotify Weekly Top USA,
Smells Like Teen Spirit,Nirvana,Spotify Weekly Top USA,
Snooze,SZA,Spotify Weekly Top USA,
Father Figure,Taylor Swift,Spotify Weekly Top USA,
we can't be friends (wait for your love),Ariana Grande,Spotify Weekly Top USA,
Century,EsDeeKid,Spotify Weekly Top USA,
Tears,Sabrina Carpenter,Spotify Weekly Top USA,
Elizabeth Taylor,Taylor Swift,Spotify Weekly Top USA,
You Stole The Show,Sienna Spiro,Spotify Weekly Top USA,
Apocalypse,Cigarettes After Sex,Spotify Weekly Top USA,
Come As You Are,Nirvana,Spotify Weekly Top USA,
Yeah!,Usher,Spotify Weekly Top USA,
Pink Skies,Zach Bryan,Spotify Weekly Top USA,
Sure Thing,Miguel,Spotify Weekly Top USA,
In The End,Linkin Park,Spotify Weekly Top USA,
Stateside + Zara Larsson,PinkPantheress,Spotify Weekly Top USA,
tv off,Kendrick Lamar,Spotify Weekly Top USA,
APT.,ROSE,Spotify Weekly Top USA,
dopamina,Peso Pluma,Spotify Weekly Top USA,
Viva La Vida,Coldplay,Spotify Weekly Top USA,
Takedown,HUNTR/X,Spotify Weekly Top USA,
Somewhere I Belong,Linkin Park,Spotify Weekly Top USA,
Too Sweet,Hozier,Spotify Weekly Top USA,
Earrings,Malcolm Todd,Spotify Weekly Top USA,
Linger,The Cranberries,Spotify Weekly Top USA,
Love You Less,Joji,Spotify Weekly Top USA,
Northern Attitude,Noah Kahan,Spotify Weekly Top USA,
Messy,Laszewo,Spotify Weekly Top USA,
3am,Laszewo,Spotify Weekly Top USA,
The Hills,The Weeknd,Spotify Weekly Top USA,
Pink + White,Frank Ocean,Spotify Weekly Top USA,
Don't,Bryson Tiller,Spotify Weekly Top USA,
Thinkin Bout You,Frank Ocean,Spotify Weekly Top USA,
Can't Stop,Red Hot Chili Peppers,Spotify Weekly Top USA,
LV Sandals,EsDeeKid,Spotify Weekly Top USA,
Nokia,Drake,Spotify Weekly Top USA,
Travelin' Soldier,Cody Johnson,Spotify Weekly Top USA,
Ain't No Love In Oklahoma,Luke Combs,Spotify Weekly Top USA,
Novacane,Frank Ocean,Spotify Weekly Top USA,
Locked Out of Heaven,Bruno Mars,Spotify Weekly Top USA,
dano,Peso Pluma,Spotify Weekly Top USA,
"I Love You, I'm Sorry",Gracie Abrams,Spotify Weekly Top USA,
Not Cute Anymore,Illit,Spotify Weekly Top USA,
Narcisista,The Warning,Spotify Weekly Top USA,
Martirio,The Warning,Spotify Weekly Top USA,
ballad of a homeschooled girl,Olivia Rodrigo,Spotify Weekly Top USA,
vampire,Olivia Rodrigo,Spotify Weekly Top USA,
good 4 u,Olivia Rodrigo,Spotify Weekly Top USA,
